2021-01-15 21:33:19 | add fc layer number: 1 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.8466334958871206 0.5383516339694753 0.5226404070854187 0.7427083 0.7764706 0.7879858613014221 0.5552316890881913 0.0 0.0 0.0 306071 362245 
1 0.4276413172483444 0.5033007681369781 0.4802407920360565 0.80625 0.7647059 0.7879858613014221 0.7903587443946187 0.5081967213114755 0.5166666666666667 0.5 522959 711110 
2 0.3249340077241262 0.6623859149568221 0.6299893260002136 0.865625 0.5764706 0.5901060104370117 0.7728699551569507 0.43137254901960786 0.7333333333333333 0.3055555555555556 689139 784748 
3 0.29522706468900045 1.068692848962896 1.0664769411087036 0.86875 0.4117647 0.42756184935569763 0.7651718983557549 0.4255319148936171 1.0 0.2702702702702703 656150 759757 
4 0.27093214467167853 0.7730608628076665 0.7432613968849182 0.88854164 0.5352941 0.5583038926124573 0.7210762331838565 0.40758293838862564 0.7166666666666667 0.2847682119205298 601284 702761 
5 0.26369500284393627 0.8259330363834605 0.7803308367729187 0.89270836 0.4882353 0.5265017747879028 0.7219730941704036 0.41739130434782606 0.8 0.2823529411764706 518207 713776 
6 0.22530127416054407 1.0197203390738543 0.9526492357254028 0.9010417 0.46470588 0.5229681730270386 0.7054559043348281 0.4206008583690988 0.8166666666666667 0.2832369942196532 586171 713762 
7 0.1908589777847131 1.3161267799489638 1.2723714113235474 0.9291667 0.41764706 0.4416961073875427 0.7033632286995516 0.4104477611940298 0.9166666666666666 0.2644230769230769 630092 713268 
8 0.22191575318574905 0.9703364224994884 0.8872380256652832 0.90729165 0.4764706 0.5300353169441223 0.6814648729446936 0.3926940639269406 0.7166666666666667 0.27044025157232704 574172 757757 
9 0.22935143585006396 1.7965393767637365 1.7662382125854492 0.9135417 0.25882354 0.28975266218185425 0.7508221225710016 0.37383177570093457 1.0 0.22988505747126436 599171 700773 
10 0.1924188144505024 1.342975005682777 1.3027417659759521 0.91979164 0.41764706 0.416961133480072 0.7325859491778774 0.40860215053763443 0.95 0.2602739726027397 491205 761744 
11 0.2418420107414325 0.7314415451358346 0.6487968564033508 0.896875 0.5764706 0.6219081282615662 0.7253363228699552 0.4088397790055249 0.6166666666666667 0.30578512396694213 622162 753760 
12 0.18774029401441414 1.0651424141491161 1.0069379806518555 0.92291665 0.5117647 0.5936395525932312 0.7228699551569507 0.4497607655502392 0.7833333333333333 0.31543624161073824 547185 698775 
13 0.22908249547084172 1.034411486457376 0.9670345187187195 0.9145833 0.5235294 0.583038866519928 0.7186846038863977 0.4380952380952381 0.7666666666666667 0.30666666666666664 628155 747749 
14 0.15581631151338418 1.0787175143466277 1.0183218717575073 0.940625 0.5470588 0.5971731543540955 0.7221973094170404 0.4466019417475728 0.7666666666666667 0.3150684931506849 593172 715754 
15 0.23041330476601918 0.7366764138726627 0.6427964568138123 0.90625 0.63529414 0.6466431021690369 0.7039611360239163 0.39759036144578314 0.55 0.3113207547169811 573173 739763 
16 0.17944239613910515 0.8812939657884485 0.7508143782615662 0.9302083 0.64117646 0.6572437882423401 0.7038116591928252 0.4049079754601227 0.55 0.32038834951456313 746119 769753 
17 0.1764372835556666 1.5522518732968498 1.5990723371505737 0.9291667 0.45294118 0.4310953915119171 0.7263079222720478 0.4014869888475836 0.9 0.2583732057416268 697137 727767 
18 0.17888809728125732 1.154730779283187 1.1773278713226318 0.92604166 0.5058824 0.5229681730270386 0.7387144992526158 0.4398340248962655 0.8833333333333333 0.292817679558011 733139 728756 
19 0.24284539421399434 2.6395055097692155 2.787358045578003 0.90208334 0.37058824 0.3710247278213501 0.7799327354260089 0.40268456375838924 1.0 0.25210084033613445 690136 780742 
20 0.182102894410491 1.6657892689985387 1.771083950996399 0.92291665 0.42941177 0.40282684564590454 0.7683109118086697 0.4070175438596491 0.9666666666666667 0.2577777777777778 712131 792748 
21 0.14406321346759796 0.9565008121378281 0.8998135328292847 0.9458333 0.5882353 0.6042402982711792 0.7257100149476832 0.422680412371134 0.6833333333333333 0.30597014925373134 639159 723766 
22 0.14827848883966604 1.0926203636562124 1.005260705947876 0.9447917 0.5294118 0.5865724086761475 0.7026905829596413 0.417910447761194 0.7 0.2978723404255319 692138 749746 
23 0.15145565681159495 1.6956854722079109 1.7699198722839355 0.93645835 0.42941177 0.434628963470459 0.7367713004484305 0.4074074074074074 0.9166666666666666 0.2619047619047619 612164 741749 
24 0.12455123371134201 3.427246461195104 3.6109204292297363 0.95 0.29411766 0.2968197762966156 0.7664050822122571 0.3761755485893417 1.0 0.23166023166023167 598169 750748 
25 0.22492278156181175 0.7704474701600916 0.7303690314292908 0.90625 0.6 0.6219081282615662 0.7159192825112107 0.42780748663101603 0.6666666666666666 0.31496062992125984 538175 739763 
26 0.13337450002630552 1.5023241365657134 1.603898048400879 0.95104164 0.5235294 0.4946996569633484 0.7334828101644244 0.42105263157894735 0.8666666666666667 0.27807486631016043 645150 753748 
27 0.15367110626151165 2.3551706145791447 2.4879953861236572 0.9322917 0.35882354 0.3710247278213501 0.7339312406576981 0.40268456375838924 1.0 0.25210084033613445 623160 741764 
28 0.1453755316634973 1.2799605327494004 1.324466347694397 0.93645835 0.5352941 0.5300353169441223 0.7437219730941704 0.4291845493562232 0.8333333333333334 0.28901734104046245 578179 725764 
29 0.15387708842754363 1.5550868945963243 1.6473758220672607 0.9447917 0.4882353 0.47349822521209717 0.7373692077727952 0.4202334630350194 0.9 0.27411167512690354 613160 756746 
30 0.11147829039643208 1.160717889841865 1.093814730644226 0.959375 0.58235294 0.6077738404273987 0.702914798206278 0.4126984126984127 0.65 0.3023255813953488 550184 744746 
31 0.13271958691378435 2.9672305640052348 3.17919659614563 0.946875 0.34705883 0.33922260999679565 0.7548579970104634 0.3908794788273615 1.0 0.242914979757085 608179 745748 
32 0.17953257101277512 0.8526973990833058 0.6735498905181885 0.921875 0.67058825 0.685512363910675 0.7224215246636772 0.41830065359477125 0.5333333333333333 0.34408602150537637 638149 737764 
33 0.10760650709271431 2.1390952531029197 2.2509877681732178 0.95625 0.42352942 0.41342756152153015 0.7415545590433483 0.3985507246376812 0.9166666666666666 0.25462962962962965 601170 729764 
34 0.15886217560619115 1.313059658162734 1.3491069078445435 0.93645835 0.47058824 0.48763251304626465 0.7458893871449925 0.41767068273092367 0.8666666666666667 0.2751322751322751 725126 748749 
35 0.09543196580683191 2.1320780473596908 2.2272660732269287 0.9604167 0.42941177 0.4310953915119171 0.7444693572496263 0.4102564102564103 0.9333333333333333 0.26291079812206575 725128 770742 
36 0.10570237201948961 1.55873602698831 1.5761497020721436 0.95520836 0.48235294 0.48763251304626465 0.7295216741405082 0.41295546558704455 0.85 0.2727272727272727 706146 781739 
37 0.1403618186712265 2.8716088028515085 2.98795223236084 0.94895834 0.29411766 0.29328620433807373 0.7423766816143497 0.375 1.0 0.23076923076923078 744110 778765 
38 0.1927074418713649 1.2918239327038035 1.2790048122406006 0.91770834 0.5411765 0.5689045786857605 0.7507473841554559 0.45045045045045046 0.8333333333333334 0.30864197530864196 772113 714781 
39 0.10674504029254119 2.387945623958812 2.618403434753418 0.96458334 0.44705883 0.4310953915119171 0.7662929745889387 0.41877256317689526 0.9666666666666667 0.2672811059907834 574172 706787 
2021-01-15 21:35:50 | add fc layer number: 2 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.8053464338183403 0.7202918375239653 0.6285167336463928 0.7729167 0.7588235 0.7879858613014221 0.5721973094170403 0.0 0.0 0.0 275693 857709 
1 0.45184987783432007 0.7301394154043759 0.8012219667434692 0.81666666 0.59411764 0.565371036529541 0.7692825112107624 0.45333333333333325 0.85 0.3090909090909091 667145 712772 
2 0.3454188177982966 1.3734032785191255 1.5276798009872437 0.859375 0.3882353 0.34982332587242126 0.6885650224215247 0.3947368421052631 1.0 0.2459016393442623 579174 723767 
3 0.2832540216545264 0.6036490924218122 0.6095104813575745 0.87708336 0.7117647 0.6996466517448425 0.6821375186846039 0.3884892086330935 0.45 0.34177215189873417 605168 728765 
