2021-01-15 20:04:00 | add fc layer number: 1 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.852789614101251 0.5496850343311535 0.5539241433143616 0.778125 0.87058824 0.8268551230430603 0.85695067264574 0.3636363636363636 0.23333333333333334 0.8235294117647058 26382 109008 
1 0.2623507966597875 0.5580395695041208 0.5475584864616394 0.89270836 0.7588235 0.7632508873939514 0.8807174887892377 0.6035502958579883 0.85 0.46788990825688076 457893 922704 
2 0.226509673645099 0.3735738158226013 0.3879666328430176 0.90833336 0.87647057 0.851590096950531 0.8856502242152466 0.4878048780487804 0.3333333333333333 0.9090909090909091 624441 857726 
3 0.1955611317108075 0.3484221262090346 0.3679136037826538 0.915625 0.87647057 0.8374558091163635 0.8850523168908819 0.41025641025641024 0.26666666666666666 0.8888888888888888 415562 904699 
4 0.1385553613305092 0.44239619724890766 0.4442659914493561 0.94375 0.80588233 0.833922266960144 0.8786995515695067 0.6618705035971223 0.7666666666666667 0.5822784810126582 505876 897713 
5 0.2203002115090688 0.35679578150019925 0.3649827241897583 0.9114583 0.88235295 0.8621907830238342 0.8914050822122571 0.5714285714285715 0.43333333333333335 0.8387096774193549 351926 808742 
6 0.13995590892930826 0.4110562306993148 0.40597912669181824 0.940625 0.8117647 0.833922266960144 0.8886397608370702 0.6713286713286714 0.8 0.5783132530120482 408910 859713 
7 0.14878300881634157 0.33166101364528433 0.3518202602863312 0.9322917 0.87647057 0.8445229530334473 0.8946188340807175 0.45000000000000007 0.3 0.9 442900 883704 
8 0.1164800734569629 0.3853502476916594 0.3749994933605194 0.95104164 0.8235294 0.8480565547943115 0.9019431988041854 0.6814814814814815 0.7666666666666667 0.6133333333333333 441886 890729 
9 0.14801657771070797 0.3806063143646016 0.38051629066467285 0.93645835 0.85294116 0.8727915287017822 0.9039611360239163 0.7 0.7 0.7 360922 861725 
10 0.16246681647996108 0.3096004878773409 0.3372500538825989 0.93333334 0.87647057 0.8480565547943115 0.9011210762331838 0.4691358024691357 0.31666666666666665 0.9047619047619048 475888 907702 
11 0.10259077697992325 0.3074213764246772 0.3301108479499817 0.965625 0.88235295 0.8551236987113953 0.8971599402092675 0.5494505494505494 0.4166666666666667 0.8064516129032258 490879 922696 
12 0.1479207561040918 0.3570073800928452 0.3992100656032562 0.946875 0.8235294 0.7915194630622864 0.8994768310911808 0.03278688524590164 0.016666666666666666 1.0 447071 908695 
13 0.15868575380494196 0.33350249563946444 0.34925979375839233 0.93854165 0.87647057 0.8763250708580017 0.8975336322869956 0.6464646464646464 0.5333333333333333 0.8205128205128205 589851 940685 
14 0.11616103022048871 0.3851573102614459 0.38777101039886475 0.95416665 0.84705883 0.8621907830238342 0.9071001494768312 0.7153284671532846 0.8166666666666667 0.6363636363636364 508876 870720 
15 0.07716343722616632 0.3190845180960262 0.3339066803455353 0.96875 0.85882354 0.8551236987113953 0.9027653213751868 0.6771653543307087 0.7166666666666667 0.6417910447761194 430902 914697 
16 0.05937103667917351 0.6741787689573625 0.665353536605835 0.975 0.67058825 0.6466431021690369 0.9005231689088191 0.5327102803738318 0.95 0.37012987012987014 471893 934699 
17 0.15726154825339714 0.37489760412889367 0.38391420245170593 0.9322917 0.85294116 0.8586572408676147 0.9031390134529149 0.7014925373134329 0.7833333333333333 0.6351351351351351 498881 264584 
18 0.08390947671917577 0.46772547013619364 0.47979384660720825 0.971875 0.7882353 0.7844523191452026 0.893273542600897 0.6303030303030304 0.8666666666666667 0.49523809523809526 492887 882701 
19 0.04685662871537109 0.32704747354283054 0.35370564460754395 0.984375 0.84117645 0.8409894108772278 0.8889387144992527 0.6341463414634146 0.65 0.6190476190476191 440898 887716 
20 0.07784334902341167 0.28891482703826005 0.33061516284942627 0.96458334 0.88235295 0.8586572408676147 0.8943198804185352 0.5555555555555556 0.4166666666666667 0.8333333333333334 572855 911713 
21 0.06903290511108935 0.2976686333908754 0.3525691628456116 0.978125 0.87058824 0.8445229530334473 0.8789237668161435 0.47619047619047616 0.3333333333333333 0.8333333333333334 455893 896702 
22 0.06637435536831618 0.2932971396866967 0.34372302889823914 0.971875 0.8882353 0.8586572408676147 0.8791479820627803 0.5555555555555556 0.4166666666666667 0.8333333333333334 531868 938700 
