2021-01-18 17:39:01 | add fc layer number: 1 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 43.78271919290225 0.590445834047654 0.5983501076698303 0.66041666 0.8352941 0.8021201491355896 0.8207772795216741 0.15151515151515152 0.08333333333333333 0.8333333333333334 144311 189942 
1 4.6821962058544155 1.669547153220457 2.079336166381836 0.6822917 0.82941175 0.7879858613014221 0.7831464872944692 0.0 0.0 0.0 302583 162938 
2 2.207762943704923 1.6408313028952655 2.037099838256836 0.68541664 0.82941175 0.7879858613014221 0.8393497757847533 0.0 0.0 0.0 310563 161962 
3 2.2670850406090417 1.8732748059665456 2.3251681327819824 0.68645835 0.82941175 0.7879858613014221 0.8400971599402094 0.0 0.0 0.0 306565 163961 
4 0.5862740310529868 0.4351880950086257 0.4513359069824219 0.8197917 0.89411765 0.8657243847846985 0.8751868460388639 0.6122448979591837 0.5 0.7894736842105263 306561 162965 
5 0.12930040881037713 0.41835567039601945 0.4978640377521515 0.97291666 0.82941175 0.7879858613014221 0.8749626307922271 0.03225806451612903 0.016666666666666666 0.5 303564 164966 
6 0.09840389812986056 0.4911971134297988 0.5865868926048279 0.9760417 0.82941175 0.7879858613014221 0.8777279521674142 0.03225806451612903 0.016666666666666666 0.5 303566 160948 
7 0.09809953334430853 0.9354968120070065 1.13595712184906 0.965625 0.82941175 0.7879858613014221 0.8765321375186845 0.0 0.0 0.0 302566 287927 
8 0.06100994652758042 0.32893458885305066 0.37135443091392517 0.98020834 0.85294116 0.8303886651992798 0.877204783258595 0.3684210526315789 0.23333333333333334 0.875 302565 164960 
9 0.018069144540155926 0.35056882781140947 0.4086417257785797 1.0 0.84117645 0.8091872930526733 0.8769058295964126 0.20588235294117646 0.11666666666666667 0.875 327556 172959 
10 0.0129383797912548 0.48486171820584467 0.580971896648407 1.0 0.8235294 0.7879858613014221 0.876831091180867 0.03225806451612903 0.016666666666666666 0.5 318575 163934 
11 0.011906903081883987 0.375886255327393 0.44300931692123413 1.0 0.8235294 0.8091872930526733 0.8775784753363228 0.20588235294117646 0.11666666666666667 0.875 316558 163963 
12 0.007907338564594586 0.46240209937095644 0.5515987873077393 1.0 0.8235294 0.7915194630622864 0.8775784753363228 0.06349206349206349 0.03333333333333333 0.6666666666666666 308580 173946 
13 0.007290783648689588 0.3717490943039165 0.4378136098384857 1.0 0.84117645 0.8091872930526733 0.8775037369207772 0.20588235294117646 0.11666666666666667 0.875 327574 165936 
14 0.006049059277089933 0.4742489081971786 0.5656766891479492 1.0 0.8235294 0.7950530052185059 0.878101644245142 0.09375000000000001 0.05 0.75 313559 162948 
15 0.005844961215431491 0.3887799136778888 0.45938122272491455 1.0 0.82941175 0.8091872930526733 0.8782511210762332 0.20588235294117646 0.11666666666666667 0.875 313561 163648 
16 0.005123424790023516 0.40200367850415847 0.47555574774742126 1.0 0.8235294 0.8091872930526733 0.8781763826606876 0.20588235294117646 0.11666666666666667 0.875 315578 174945 
17 0.004480080663536986 0.5004721911514507 0.597040057182312 1.0 0.8235294 0.7950530052185059 0.8786995515695066 0.09375000000000001 0.05 0.75 337572 165961 
18 0.004033220850396901 0.5749519390218398 0.687959611415863 1.0 0.8235294 0.7879858613014221 0.8786995515695067 0.03225806451612903 0.016666666666666666 0.5 332623 171961 
19 0.0031202336850886542 0.5432998930706697 0.6496117115020752 1.0 0.8235294 0.7915194630622864 0.8792974588938715 0.06349206349206349 0.03333333333333333 0.6666666666666666 351550 165960 
20 0.0027097364887595176 0.46966579398688146 0.559366762638092 1.0 0.8235294 0.8056536912918091 0.8792227204783258 0.17910447761194032 0.1 0.8571428571428571 345553 164932 
21 0.002262134721968323 0.561184713419746 0.6707190871238708 1.0 0.8235294 0.7915194630622864 0.8790732436472348 0.06349206349206349 0.03333333333333333 0.6666666666666666 308562 164961 
22 0.001833180570974946 0.5525288031381719 0.6597154140472412 1.0 0.8235294 0.7915194630622864 0.8791479820627803 0.06349206349206349 0.03333333333333333 0.6666666666666666 323572 163948 
23 0.001609949740425994 0.44686426117139705 0.5310671329498291 1.0 0.8235294 0.8056536912918091 0.8795964125560538 0.17910447761194032 0.1 0.8571428571428571 380554 177944 
24 0.0014927825463625292 0.5850648294476902 0.6986866593360901 1.0 0.8235294 0.7915194630622864 0.8791479820627801 0.06349206349206349 0.03333333333333333 0.6666666666666666 341552 164950 
25 0.0014004940128264328 0.6142060623449438 0.7337605357170105 1.0 0.8235294 0.7879858613014221 0.8793721973094171 0.03225806451612903 0.016666666666666666 0.5 328557 163949 
26 0.0013675137306563556 0.5025058192365309 0.5983588099479675 1.0 0.8235294 0.8056536912918091 0.8798953662182362 0.17910447761194032 0.1 0.8571428571428571 303565 162962 
27 0.0011409792020761718 0.4847272119101356 0.577180802822113 1.0 0.8235294 0.8056536912918091 0.8795216741405083 0.17910447761194032 0.1 0.8571428571428571 327557 162964 
28 0.0010486709982311974 0.5964271794347202 0.7118815183639526 1.0 0.8235294 0.7915194630622864 0.8795216741405082 0.06349206349206349 0.03333333333333333 0.6666666666666666 304561 168947 
29 0.0009629147088465591 0.4623889866997214 0.5500597357749939 1.0 0.8235294 0.8056536912918091 0.8799701046337818 0.17910447761194032 0.1 0.8571428571428571 330559 168949 
30 0.0010521253648524483 0.46034287547363956 0.5473162531852722 1.0 0.8235294 0.8056536912918091 0.8801943198804185 0.17910447761194032 0.1 0.8571428571428571 316565 166950 
31 0.0008368138825365653 0.5433806805049672 0.6473842859268188 1.0 0.8235294 0.7985865473747253 0.8801943198804185 0.12307692307692308 0.06666666666666667 0.8 330555 165960 
